C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,057","0,198","0,176","0,04","0,002","0,005","0,024","0,004","0,042",Puddelstahl
"0,06","0,153","0,147","0,038","0,002","0,005","0,027","0,002","0,044",Puddelstahl
"0,061","0,129","0,133","0,038","0,002","0,005","0,026","0,002","0,044",Puddelstahl
"0,07","0,249","0,196","0,039","0,002","0,005","0,032","0,007","0,043",Puddelstahl
"0,075","0,287","0,183","0,036","0,002","0,005","0,03","0,002","0,043",Puddelstahl
"0,075","0,219","0,169","0,037","0,002","0,005","0,031","0,002","0,044",Puddelstahl
"0,066","0,206","0,167","0,038","0,002","0,005","0,028","0,003","0,043",Puddelstahl
"0,019","0,054","0,115","0,077","0,005","0,002","0,021","0,003","0,044",Puddelstahl
"0,019","0,059","0,116","0,079","0,006","0,002","0,022","0,003","0,044",Puddelstahl
"0,02","0,06","0,118","0,078","0,006","0,003","0,021","0,003","0,044",Puddelstahl
"0,019","0,058","0,116","0,078","0,006","0,002","0,022","0,003","0,044",Puddelstahl
"0,04","0,045","0,113","0,058","0,005","0,004","0,024",0,"0,043",Puddelstahl
"0,042","0,035","0,108","0,06","0,008","0,004","0,025",0,"0,043",Puddelstahl
"0,043","0,045","0,12","0,059","0,007","0,004","0,025",0,"0,044",Puddelstahl
"0,042","0,041","0,113","0,059","0,007","0,004","0,025",0,"0,044",Puddelstahl
"0,092","0,054","0,158","0,111","0,006","0,005","0,024","0,002","0,046",Puddelstahl
"0,089","0,045","0,152","0,116","0,007","0,005","0,028","0,002","0,046",Puddelstahl
"0,086","0,042","0,151","0,119","0,008","0,005","0,025","0,002","0,047",Puddelstahl
"0,089","0,047","0,154","0,115","0,007","0,005","0,026","0,002","0,047",Puddelstahl
"0,003","0,099","0,123","0,058","0,01","0,005","0,13","0,003","0,091",Puddelstahl
"0,003","0,388","0,404","0,068","0,02","0,005","0,109","0,014","0,075",Puddelstahl
"0,007","0,226","0,233","0,076","0,015","0,005","0,124","0,008","0,084",Puddelstahl
"0,003","0,276","0,386","0,17","0,005","0,005","0,028","0,016","0,053",Puddelstahl
"0,003","0,248","0,302","0,17","0,003","0,005","0,028","0,013","0,054",Puddelstahl
"0,003","0,211","0,272","0,17","0,003","0,005","0,032","0,013","0,057",Puddelstahl
"0,003","0,169","0,131","0,097","0,003","0,005","0,032","0,008","0,04",Puddelstahl
"0,003","0,187","0,143","0,093","0,002","0,005","0,032","0,008","0,039",Puddelstahl
"0,003","0,268","0,205","0,094","0,002","0,005","0,031","0,012","0,039",Puddelstahl
"0,003","0,227","0,24","0,132","0,003","0,005","0,031","0,012","0,047",Puddelstahl
"0,012","0,248","0,25","0,069","0,005","0,007","0,023","0,014","0,026",Puddelstahl
"0,013","0,193","0,209","0,067","0,004","0,007","0,022","0,01","0,027",Puddelstahl
"0,012","0,166","0,188","0,066","0,004","0,007","0,022","0,008","0,027",Puddelstahl
"0,01","0,271","0,376","0,088","0,01","0,011","0,017","0,016","0,027",Puddelstahl
"0,014","0,241","0,34","0,092","0,009","0,01","0,014","0,013","0,027",Puddelstahl
"0,015","0,214","0,305","0,09","0,008","0,01","0,015","0,012","0,029",Puddelstahl
"0,026","0,981","0,548","0,099","0,016","0,008","0,028","0,054","0,03",Puddelstahl
"0,003","0,243","0,265","0,049","0,004","0,006","0,022","0,009","0,022",Puddelstahl
"0,003","0,18","0,225","0,047","0,003","0,007","0,022","0,006","0,022",Puddelstahl
"0,004","0,076","0,133","0,076","0,002","0,005","0,013","0,002","0,044",Puddelstahl
"0,004","0,065","0,121","0,072","0,002","0,005","0,014","0,002","0,044",Puddelstahl
"0,004","0,076","0,128","0,07","0,002","0,005","0,013","0,002","0,044",Puddelstahl
"0,005","0,065","0,138","0,082","0,002","0,005","0,009","0,002","0,046",Puddelstahl
"0,003","0,085","0,154","0,075","0,002","0,005","0,01","0,003","0,045",Puddelstahl
"0,003","0,157","0,244","0,073","0,002","0,005","0,011","0,011","0,045",Puddelstahl
"0,014","0,036","0,215","0,09","0,002","0,005","0,012","0,002","0,051",Puddelstahl
"0,009","0,055","0,239","0,087","0,002","0,005","0,012","0,002","0,051",Puddelstahl
"0,008","0,032","0,194","0,086","0,002","0,005","0,013","0,002","0,052",Puddelstahl
"0,004","0,116","0,27","0,089","0,002","0,005","0,011","0,006","0,05",Puddelstahl
"0,004","0,072","0,202","0,09","0,002","0,005","0,012","0,002","0,052",Puddelstahl
"0,005","0,086","0,214","0,088","0,002","0,005","0,012","0,004","0,051",Puddelstahl
"0,008","0,066","0,222","0,088","0,002","0,005","0,012","0,003","0,051",Puddelstahl
"0,182","0,139","0,187","0,051","0,002","0,005","0,026","0,008","0,043",Puddelstahl
"0,168","0,056","0,089","0,052","0,002","0,005","0,03","0,003","0,047",Puddelstahl
"0,187","0,085","0,129","0,054","0,002","0,005","0,023","0,005","0,044",Puddelstahl
"0,208","0,161","0,209","0,054","0,004","0,005","0,022","0,011","0,043",Puddelstahl
"0,191","0,151","0,189","0,051","0,004","0,005","0,025","0,008","0,043",Puddelstahl
"0,182","0,139","0,187","0,051","0,002","0,005","0,026","0,008","0,043",Puddelstahl
"0,168","0,056","0,089","0,052","0,002","0,005","0,03","0,003","0,047",Puddelstahl
"0,187","0,085","0,129","0,054","0,002","0,005","0,023","0,005","0,044",Puddelstahl
"0,208","0,161","0,209","0,054","0,004","0,005","0,022","0,011","0,043",Puddelstahl
"0,191","0,151","0,189","0,051","0,004","0,005","0,025","0,008","0,043",Puddelstahl
"0,195","0,085","0,153","0,045","0,002","0,005","0,024","0,005","0,044",Puddelstahl
"0,178","0,103","0,149","0,053","0,002","0,005","0,025","0,007","0,046",Puddelstahl
"0,228","0,179","0,231","0,06","0,003","0,005","0,024","0,011","0,042",Puddelstahl
"0,2","0,122","0,178","0,053","0,002","0,005","0,024","0,007","0,044",Puddelstahl
"0,245","0,213","0,281","0,058","0,009","0,005","0,023","0,015","0,043",Puddelstahl
"0,24","0,128","0,215","0,06","0,008","0,005","0,024","0,006","0,044",Puddelstahl
"0,246","0,138","0,224","0,062","0,008","0,005","0,024","0,007","0,044",Puddelstahl
"0,244","0,159","0,24","0,06","0,008","0,005","0,024","0,009","0,044",Puddelstahl
"0,191","0,03","0,053","0,048","0,002","0,005","0,025","0,002","0,044",Puddelstahl
"0,206","0,039","0,064","0,053","0,002","0,005","0,026","0,003","0,045",Puddelstahl
"0,196","0,03","0,051","0,053","0,002","0,005","0,026","0,002","0,046",Puddelstahl
"0,198","0,033","0,056","0,051","0,002","0,005","0,026","0,002","0,045",Puddelstahl
"0,003","0,142","0,2","0,170","0,047","0,010","0,031","0,006","0,056",Puddelstahl
"0,003","0,101","0,13","0,170","0,035","0,010","0,030","0,005","0,059",Puddelstahl
"0,003","0,092","0,12","0,170","0,033","0,008","0,031","0,004","0,062",Puddelstahl
"0,003","0,112","0,13","0,170","0,038","0,009","0,030","0,005","0,059",Puddelstahl
"0,007","0,359","0,26","0,1","0,0","0,0","0,1","0,0","0,1",Puddelstahl
"0,006","0,39","0,3","0,097","0,005","0,005","0,051","0,025","0,053",Puddelstahl
"0,005","0,434","0,30","0,091","0,006","0,005","0,052","0,028","0,053",Puddelstahl
"0,006","0,395","0,28","0,095","0,006","0,005","0,051","0,025","0,053",Puddelstahl
"0,007","0,141","0,28","0,039","0,003","0,005","0,022","0,013","0,043",Puddelstahl
"0,008","0,13","0,27","0,038","0,003","0,005","0,023","0,012","0,044",Puddelstahl
"0,007","0,139","0,25","0,038","0,003","0,005","0,023","0,012","0,044",Puddelstahl
"0,024","0,213","0,48","0,170","0,011","0,005","0,036","0,018","0,106",Puddelstahl
"0,023","0,141","0,35","0,170","0,006","0,005","0,037","0,012","0,108",Puddelstahl
"0,015","0,109","0,28","0,170","0,008","0,005","0,040","0,009","0,111",Puddelstahl
"0,021","0,154","0,37","0,170","0,008","0,005","0,038","0,013","0,108",Puddelstahl
"0,01","0,074","0,02","0,134","0,006","0,005","0,221","0,003","0,345",Puddelstahl
"0,01","0,089","0,02","0,136","0,006","0,005","0,222","0,005","0,345",Puddelstahl
"0,009","0,081","0,02","0,138","0,006","0,005","0,218","0,004","0,343",Puddelstahl
"0,01","0,081","0,02","0,1","0,0","0,0","0,2","0,0","0,3",Puddelstahl
"0,003","0,043","0,12","0,2","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,003","0,029","0,1","0,151","0,004","0,005","0,036","0,002","0,120",Puddelstahl
"0,003","0,032","0,09","0,151","0,004","0,005","0,037","0,003","0,120",Puddelstahl
"0,003","0,035","0,10","0,152","0,005","0,005","0,036","0,003","0,120",Puddelstahl
"0,016","0,393","0,7","0,134","0,018","0,008","0,038","0,044","0,111",Puddelstahl
"0,012","0,245","0,51","0,128","0,012","0,007","0,033","0,023","0,110",Puddelstahl
"0,034","0,599","0,80","0,133","0,022","0,007","0,037","0,047","0,107",Puddelstahl
"0,016","0,148","0,284","0,1","0,0","0,0","0,0","0,0","0,2",Puddelstahl
"0,015","0,122","0,2","0,107","0,004","0,005","0,037","0,009","0,153",Puddelstahl
"0,015","0,131","0,23","0,104","0,004","0,005","0,038","0,010","0,154",Puddelstahl
"0,015","0,134","0,24","0,109","0,004","0,005","0,037","0,009","0,153",Puddelstahl
"0,003","0,236","0,48","0,1","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,003","0,251","0,5","0,119","0,010","0,005","0,036","0,021","0,124",Puddelstahl
"0,003","0,23","0,49","0,118","0,01","0,01","0,04","0,02","0,13",Puddelstahl
"0,003","0,239","0,50","0,1","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,007","0,051","0,13","0,2","0,0","0,0","0,1","0,0","0,1",Puddelstahl
"0,008","0,041","0,1","0,157","0,005","0,005","0,061","0,004","0,125",Puddelstahl
"0,007","0,049","0,13","0,160","0,004","0,005","0,060","0,004","0,126",Puddelstahl
"0,008","0,047","0,13","0,2","0,0","0,0","0,1","0,0","0,1",Puddelstahl
"0,032","0,188","0,15","0,1","0,0","0,0","0,1","0,0","0,1",Puddelstahl
"0,026","0,182","0,1","0,106","0,007","0,005","0,050","0,011","0,105",Puddelstahl
"0,031","0,225","0,13","0,112","0,009","0,005","0,053","0,020","0,106",Puddelstahl
"0,03","0,198","0,138","0,1","0,0","0,0","0,1","0,0","0,1",Puddelstahl
"0,007","0,138","0,24","0,170","0,019","0,005","0,031","0,009","0,136",Puddelstahl
"0,007","0,087","0,17","0,170","0,012","0,005","0,032","0,006","0,140",Puddelstahl
"0,005","0,081","0,17","0,170","0,014","0,005","0,032","0,004","0,139",Puddelstahl
"0,006","0,102","0,19","0,170","0,015","0,005","0,032","0,006","0,138",Puddelstahl
"0,003","0,04","0,12","0,167","0,005","0,005","0,036","0,004","0,144",Puddelstahl
"0,003","0,04","0,12","0,2","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,003","0,04","0,1","0,170","0,006","0,005","0,037","0,004","0,147",Puddelstahl
"0,003","0,04","0,12","0,169","0,006","0,005","0,037","0,004","0,146",Puddelstahl
"0,003","0,129","0,25","0,170","0,009","0,005","0,035","0,009","0,096",Puddelstahl
"0,003","0,132","0,26","0,2","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,004","0,108","0,2","0,170","0,010","0,005","0,031","0,007","0,094",Puddelstahl
"0,004","0,123","0,24","0,170","0,011","0,005","0,034","0,008","0,095",Puddelstahl
"0,009","0,208","0,6","0,170","0,015","0,005","0,037","0,013","0,082",Puddelstahl
"0,01","0,155","0,48","0,170","0,014","0,005","0,040","0,010","0,085",Puddelstahl
"0,012","0,299","0,91","0,2","0,0","0,0","0,0","0,0","0,1",Puddelstahl
"0,003","0,118","0,40","0,143","0,013","0,007","0,033","0,007","0,077",Puddelstahl
"0,003","0,085","0,32","0,135","0,009","0,007","0,035","0,005","0,080",Puddelstahl
"0,003","0,066","0,25","0,127","0,006","0,006","0,036","0,004","0,081",Puddelstahl
"0,008","0,499","0,95","0,083","0,011","0,005","0,005","0,025","0,011",Puddelstahl
"0,003","0,434","0,79","0,1","0,0","0,0","0,0","0,0","0,0",Puddelstahl
"0,003","0,353","0,6","0,081","0,006","0,005","0,009","0,020","0,015",Puddelstahl
"0,003","0,25","0,43","0,082","0,006","0,005","0,014","0,013","0,017",Puddelstahl
"0,003","0,247","0,42","0,1","0,0","0,0","0,0","0,0","0,0",Puddelstahl
"0,004","0,253","0,4","0,077","0,005","0,005","0,016","0,013","0,018",Puddelstahl
"0,005","0,178","0,30","0,078","0,005","0,005","0,015","0,011","0,018",Puddelstahl
"0,004","0,11","0,21","0,072","0,004","0,005","0,016","0,008","0,020",Puddelstahl
"0,004","0,149","0,22","0,072","0,005","0,005","0,019","0,008","0,020",Puddelstahl
"0,019","0,383","0,60","0,083","0,009","0,006","0,014","0,019","0,016",Puddelstahl
"0,046","0,419","0,41","0,170","0,008","0,005","0,020","0,015","0,030",Puddelstahl
"0,042","0,294","0,33","0,170","0,006","0,005","0,019","0,010","0,030",Puddelstahl
"0,044","0,287","0,31","0,170","0,007","0,005","0,020","0,011","0,030",Puddelstahl
"0,143","0,205","0,19","0,133","0,006","0,005","0,026","0,013","0,033",Puddelstahl
"0,14","0,126","0,15","0,1","0,0","0,0","0,0","0,0","0,0",Puddelstahl
"0,147","0,436","0,4","0,147","0,005","0,005","0,028","0,029","0,033",Puddelstahl
"0,004","0,473","0,34","0,152","0,008","0,029","0,022","0,016","0,027",Puddelstahl
"0,003","0,713","0,497","0,2","0,0","0,0","0,0","0,0","0,0",Puddelstahl
"0,003","0,614","0,4","0,170","0,009","0,015","0,021","0,020","0,027",Puddelstahl
"0,03","0,394","0,30","0,103","0,005","0,005","0,027","0,025","0,050",Puddelstahl
"0,03","0,275","0,23","0,105","0,005","0,005","0,026","0,016","0,052",Puddelstahl
"0,028","0,209","0,18","0,104","0,004","0,005","0,027","0,012","0,053",Puddelstahl
"0,03","0,293","0,24","0,104","0,005","0,005","0,026","0,018","0,051",Puddelstahl
"0,189","0,099","0,13","0,0","0,0","0,0","0,0","0,0","0,0",Puddelstahl
"0,195","0,121","0,1","0,050","0,004","0,005","0,027","0,008","0,047",Puddelstahl
"0,198","0,081","0,12","0,053","0,005","0,005","0,026","0,004","0,046",Puddelstahl
